user_id,clip_duration,media_platform,age_new,day,tt,ad_complete,ad_brand_cat,genre_new,gender_new,l_ad_stop,u_ad_stop
189,134,MOBILE WEB,30,Mon,3,0,electronics,entertainment,Male,3.75,7.5
190,252,MOBILE WEB,20,Thu,21,0,health_food,entertainment,Female,3.75,7.5
191,163,MOBILE WEB,20,Thu,23,0,food,drama,Female,3.75,7.5
192,67,MOBILE WEB,10,Sun,13,0,drink,sports,Male,3.75,7.5
193,327,MOBILE WEB,40,Sun,14,1,drink,sports,Male,11.25,15
194,72,MOBILE WEB,40,Mon,9,0,corporation,sports,Male,0,3.75
195,193,MOBILE WEB,30,Tue,14,0,food,entertainment,Female,11.25,15
196,180,MOBILE WEB,10,Mon,20,1,government,entertainment,Male,11.25,15
197,73,MOBILE WEB,50,Fri,11,0,corporation,sports,Male,0,3.75
198,114,MOBILE WEB,20,Mon,0,0,food,entertainment,Female,3.75,7.5
199,135,MOBILE WEB,30,Thu,22,0,health_food,entertainment,Female,3.75,7.5
200,141,MOBILE WEB,40,Sat,1,0,electronics,entertainment,Female,3.75,7.5
201,70,PC WEB,50,Tue,16,0,drink,sports,Male,0,3.75
202,154,PC WEB,30,Sat,16,1,education,entertainment,Male,11.25,15
203,525,MOBILE WEB,50,Sun,11,0,corporation,sports,Male,3.75,7.5
204,265,PC WEB,50,Sat,10,0,drink,entertainment,Female,0,3.75
205,130,MOBILE WEB,30,Tue,13,0,drink,sports,Male,11.25,15
206,61,MOBILE WEB,30,Wed,15,0,corporation,sports,Male,7.5,11.25
207,97,MOBILE WEB,50,Wed,12,0,electronics,sports,Male,11.25,15
208,271,MOBILE WEB,10,Fri,0,0,food,drama,Female,3.75,7.5
209,64,MOBILE WEB,10,Tue,20,0,medicine,entertainment,Female,3.75,7.5
210,61,PC WEB,40,Tue,22,0,drink,sports,Male,3.75,7.5
211,60,MOBILE WEB,30,Sat,13,0,drink,sports,Male,7.5,11.25
212,160,MOBILE WEB,10,Mon,20,0,education,entertainment,Female,3.75,7.5
213,169,MOBILE WEB,40,Wed,15,0,health_food,entertainment,Female,3.75,7.5
214,85,MOBILE WEB,30,Tue,14,0,movie,current_affairs,Female,3.75,7.5
215,265,MOBILE WEB,50,Tue,15,1,health_food,entertainment,Female,11.25,15
216,96,PC WEB,40,Wed,13,0,corporation,sports,Male,0,3.75
217,147,MOBILE WEB,40,Sat,14,0,drink,sports,Female,7.5,11.25
218,74,MOBILE WEB,40,Fri,19,0,corporation,sports,Male,7.5,11.25
219,99,MOBILE WEB,50,Thu,12,1,drink,sports,Male,11.25,15
220,183,MOBILE WEB,30,Fri,18,0,drink,entertainment,Female,7.5,11.25
221,164,MOBILE WEB,10,Sun,19,0,education,entertainment,Male,3.75,7.5
222,144,MOBILE WEB,40,Sat,0,1,movie,entertainment,Female,11.25,15
223,190,MOBILE WEB,30,Mon,18,0,health_food,entertainment,Female,3.75,7.5
224,64,MOBILE WEB,30,Tue,12,0,drink,sports,Male,3.75,7.5
225,112,MOBILE WEB,40,Fri,10,0,electronics,drama,Female,3.75,7.5
226,61,PC WEB,30,Sun,14,1,drink,sports,Male,11.25,15
227,187,MOBILE WEB,40,Mon,22,0,government,entertainment,Female,3.75,7.5
228,125,MOBILE WEB,20,Mon,18,0,drink,sports,Male,3.75,7.5
229,79,MOBILE WEB,40,Sat,15,0,corporation,sports,Male,3.75,7.5
230,85,MOBILE WEB,50,Fri,10,0,corporation,sports,Male,0,3.75
231,241,MOBILE WEB,30,Tue,19,1,drink,sports,Male,11.25,15
232,67,PC WEB,40,Wed,7,1,corporation,sports,Female,11.25,15
233,232,MOBILE WEB,40,Fri,2,0,drink,drama,Female,3.75,7.5
234,128,MOBILE WEB,40,Wed,9,0,corporation,entertainment,Female,3.75,7.5
235,118,MOBILE WEB,30,Fri,13,0,food,drama,Female,3.75,7.5
236,185,MOBILE WEB,50,Mon,11,0,electronics,drama,Female,0,3.75
237,96,MOBILE WEB,20,Sat,22,0,movie,drama,Female,3.75,7.5
238,241,MOBILE WEB,10,Sat,0,0,electronics,entertainment,Female,3.75,7.5
239,193,MOBILE WEB,20,Mon,20,0,food,entertainment,Female,3.75,7.5
240,68,MOBILE WEB,40,Fri,12,0,drink,sports,Male,11.25,15
